Ejercicio;Descripción;Enlace al Video
Sentadillas;Ejercicio básico para fortalecer las piernas. Párate con los pies separados al ancho de los hombros y baja el cuerpo doblando las rodillas, manteniendo la espalda recta. Luego, vuelve a la posición inicial.;https://www.youtube.com/watch?v=QKKZ9AGYTi4
Flexiones de Brazos;Ejercicio para fortalecer los músculos del pecho, hombros y tríceps. Apóyate en el suelo con las manos a la altura de los hombros, manteniendo el cuerpo recto y descendiendo hasta que los codos estén en un ángulo de 90 grados;https://www.youtube.com/watch?v=UwRLWMcOdwI
Plancha Abdominal;Ejercicio de isometría para fortalecer el core. Colócate en posición de plancha, apoyando el peso en los antebrazos y los dedos de los pies, manteniendo el cuerpo recto y los músculos abdominales contraídos.;https://www.youtube.com/watch?v=TvxNkmjdhMM
Levantamiento de Pesas;Ejercicio de fuerza que se puede adaptar a diferentes grupos musculares. Utiliza pesas adecuadas para tu nivel de fuerza, mantén una postura adecuada y realiza movimientos controlados para evitar lesiones.;https://www.youtube.com/watch?v=qEwKCR5JCog
Burpees;Ejercicio que combina flexiones, saltos y sentadillas. Comienza en posición de cuclillas, luego apoya las manos en el suelo, estira las piernas hacia atrás realizando una flexión, lleva las piernas de vuelta a la posición de cuclillas y salta;https://www.youtube.com/watch?v=JZQA08SlJnM
Dominadas;Ejercicio para fortalecer la espalda y los brazos. Agárrate a una barra con las manos separadas al ancho de los hombros y levántate hasta que la barbilla esté por encima de la barra. Luego, baja lentamente hasta la posición inicial.;https://www.youtube.com/watch?v=eGo4IYlbE5g
Zancadas;Ejercicio para fortalecer las piernas y glúteos. Da un paso adelante con una pierna y flexiona ambas rodillas hasta que las piernas formen ángulos de 90 grados. Luego, vuelve a la posición inicial y repite con la otra pierna.;https://www.youtube.com/watch?v=QOVaHwm-Q6U
Flexiones Diamante;Variante de las flexiones que enfatiza más en los tríceps. Coloca las manos juntas debajo del pecho, formando un diamante con los pulgares y los índices. Realiza las flexiones manteniendo los codos cerca del cuerpo.;https://www.youtube.com/watch?v=Jx4cT2Ny8Mg
Elevaciones Laterales;Ejercicio para fortalecer los hombros y los músculos del deltoides medio. De pie, con una mancuerna en cada mano, levanta los brazos hacia los lados hasta que estén paralelos al suelo, luego baja lentamente.;https://www.youtube.com/watch?v=yho0e_9rOwA
Plancha Lateral;Ejercicio para trabajar los músculos abdominales, oblicuos y estabilizadores del core. Acuéstate de lado apoyándote en el antebrazo y el costado del pie, mantén el cuerpo en línea recta y sostén la posición durante el tiempo deseado.;https://www.youtube.com/watch?v=zf0RBDYF8iE